order_id;product_id;add_to_cart_order;reordered
4630;20674;1;0
4630;20676;2;0
4630;20685;3;0
4630;20974;4;0
4630;21035;5;0
4630;21055;6;0
4630;21058;7;0
4630;21059;8;0
4630;21067;9;0
4630;21080;10;0
4630;21086;11;0
4630;21094;12;0
4630;21121;13;0
4630;21122;14;0
4630;21124;15;0
4630;21212;16;0
4630;21224;17;0
4630;21238;18;0
4630;21495;19;0
4630;21504;20;0
4630;21523;21;0
4630;21544;22;0
4630;21557;23;0
4630;21679;24;0
4630;21680;25;0
4630;21975;26;0
4630;21987;27;0
4630;21988;28;0
4630;21989;29;0
4630;22085;30;0
4630;22139;31;0
4630;22331;32;0
4630;22332;33;0
4630;22333;34;0
4630;22334;35;0
4630;22425;36;0
4630;22437;37;0
4630;22482;38;0
4630;22690;39;0
4630;22692;40;0
4630;22907;41;0
4630;22951;42;0
4630;84991;43;0
4630;85055;44;0
4630;85059;45;0
5046;20717;1;0
5046;20718;2;0
5046;20973;3;0
5046;20975;4;0
5046;21125;5;0
5046;21126;6;0
5046;21668;7;0
5046;21669;8;0
5046;21670;9;0
5046;21671;10;0
5046;21672;11;0
5046;21673;12;0
5046;21754;13;0
5046;21755;14;0
5046;22077;15;0
5046;22083;16;0
5046;22084;17;0
5046;22087;18;0
5046;22088;19;0
5046;22089;20;0
5046;22090;21;0
5046;22169;22;0
5046;22329;23;0
5046;22348;24;0
5046;22488;25;0
5046;22558;26;0
5046;22629;27;0
5046;22630;28;0
5046;22639;29;0
5046;22666;30;0
5046;22667;31;0
5046;22668;32;0
5046;22669;33;0
5046;22720;34;0
5046;22759;35;0
5046;22767;36;0
5046;22771;37;0
5046;22772;38;0
5046;22773;39;0
5046;22805;40;0
5046;22962;41;0
5046;22963;42;0
5046;47566;43;0
5046;82483;44;0
5046;82484;45;0
5046;82486;46;0
5046;82600;47;0
5046;84380;48;0
5911;20719;1;0
5911;20724;2;0
5911;21390;3;0
5911;22169;4;1
5911;22170;5;0
5911;22227;6;0
5911;22241;7;0
5911;22384;8;0
5911;22386;9;0
5911;22661;10;0
5911;22662;11;0
5911;22720;12;1
5911;22722;13;0
5911;22767;14;1
5911;22796;15;0
5911;22822;16;0
5911;22829;17;0
5911;22832;18;0
5911;22892;19;0
5911;22916;20;0
5911;22917;21;0
5911;22918;22;0
5911;22919;23;0
5911;22920;24;0
5911;22921;25;0
5911;22951;26;1
5911;22960;27;0
5911;22964;28;0
5911;22966;29;0
5911;23231;30;0
5911;23232;31;0
6256;20724;1;1
6256;20728;2;0
6256;22045;3;0
6256;22169;4;1
6256;22171;5;0
6256;22367;6;0
6256;22502;7;0
6256;22629;8;1
6256;22630;9;1
6256;22704;10;0
6256;22777;11;0
6256;22778;12;0
6256;22898;13;0
6256;22913;14;0
6256;22966;15;1
6256;22972;16;0
6256;22974;17;0
6256;23230;18;0
6256;84375;19;0
6568;20685;1;1
6568;21136;2;0
6568;21213;3;0
6568;21340;4;0
6568;21442;5;0
6568;21445;6;0
6568;21447;7;0
6568;21733;8;0
6568;21755;9;1
6568;21773;10;0
6568;21955;11;0
6568;22026;12;0
6568;22035;13;0
6568;22037;14;0
6568;22077;15;1
6568;22083;16;1
6568;22084;17;1
6568;22087;18;1
6568;22088;19;1
6568;22089;20;1
6568;22090;21;1
6568;22151;22;0
6568;22178;23;0
6568;22441;24;0
6568;22457;25;0
6568;22478;26;0
6568;22558;27;1
6568;22629;28;1
6568;22631;29;0
6568;22692;30;1
6568;22767;31;1
6568;22805;32;1
6568;22855;33;0
6568;22907;34;1
6568;22962;35;1
6568;22963;36;1
6568;22983;37;0
6568;79000;38;0
6568;82482;39;0
6568;82483;40;1
6568;84380;41;1
6568;84879;42;0
7826;15036;1;0
7826;21633;2;0
7826;22585;3;0
7826;22994;4;0
7826;22998;5;0
7826;23000;6;0
7826;23002;7;0
7826;23003;8;0
7826;23004;9;0
7826;23006;10;0
7826;85016;11;0
7827;20723;1;0
7827;20725;2;0
7827;21080;3;1
7827;21165;4;0
7827;21166;5;0
7827;21468;6;0
7827;21472;7;0
7827;21507;8;0
7827;21754;9;1
7827;21870;10;0
7827;21908;11;0
7827;21910;12;0
7827;22087;13;1
7827;22151;14;1
7827;22356;15;0
7827;22470;16;0
7827;22478;17;1
7827;22585;18;1
7827;22892;19;1
7827;22960;20;1
7827;22961;21;0
7827;47566;22;1
7827;82482;23;1
7827;82483;24;1
7827;82484;25;1
7827;82486;26;1
7827;84692;27;0
7827;84879;28;1
7827;84978;29;0
8424;20669;1;0
8424;20718;2;1
8424;21114;3;0
8424;21495;4;1
8424;21497;5;0
8424;21498;6;0
8424;21499;7;0
8424;21500;8;0
8424;21506;9;0
8424;21508;10;0
8424;21509;11;0
8424;21668;12;1
8424;21669;13;1
8424;21673;14;1
8424;22024;15;0
8424;22027;16;0
8424;22028;17;0
8424;22029;18;0
8424;22040;19;0
8424;22046;20;0
8424;22048;21;0
8424;22457;22;1
8424;22488;23;1
8424;22716;24;0
8424;22717;25;0
8424;22718;26;0
8424;22776;27;0
8424;22814;28;0
8424;22819;29;0
8424;22983;30;1
8424;22984;31;0
8424;22985;32;0
8424;82581;33;0
9635;20685;1;1
9635;20719;2;1
9635;20723;3;1
9635;20724;4;1
9635;20726;5;0
9635;20727;6;0
9635;21135;7;0
9635;21165;8;1
9635;21166;9;1
9635;21172;10;0
9635;21175;11;0
9635;21340;12;1
9635;21446;13;0
9635;21447;14;1
9635;21507;15;1
9635;21557;16;1
9635;21755;17;1
9635;21773;18;1
9635;21774;19;0
9635;22026;20;1
9635;22030;21;0
9635;22178;22;1
9635;22341;23;0
9635;22382;24;0
9635;22488;25;1
9635;22585;26;1
9635;22629;27;1
9635;22630;28;1
9635;22661;29;1
9635;22662;30;1
9635;22666;31;1
9635;22692;32;1
9635;22715;33;0
9635;22766;34;0
9635;22771;35;1
9635;22772;36;1
9635;22776;37;1
9635;22796;38;1
9635;22919;39;1
9635;22948;40;0
9635;22961;41;1
9635;22962;42;1
9635;22964;43;1
9635;48138;44;0
9635;48194;45;0
9635;82482;46;1
9635;82483;47;1
9635;84978;48;1
9635;84992;49;0
9635;85062;50;0
10367;15036;1;1
10367;15036;1;1
10367;21210;2;0
10367;21626;3;0
10367;21672;4;1
10367;21916;5;0
10367;21918;6;0
10367;21977;7;0
10367;21977;7;0
10367;22083;8;1
10367;22084;9;1
10367;22084;9;1
10367;22087;10;1
10367;22088;11;1
10367;22089;12;1
10367;22090;13;1
10367;22170;14;1
10367;22241;15;1
10367;22296;16;0
10367;22967;17;0
10367;47566;18;1
10367;71459;19;0
10367;82552;20;0
11214;21215;1;0
11214;21472;2;1
11214;21508;3;1
11214;21509;4;1
11214;21519;5;0
11214;21621;6;0
11214;21754;7;1
11214;21756;8;0
11214;21872;9;0
11214;21874;10;0
11214;21907;11;0
11214;22027;12;1
11214;22178;13;1
11214;22196;14;0
11214;22224;15;0
11214;22456;16;0
11214;22479;17;0
11214;22488;18;1
11214;22666;19;1
11214;22667;20;1
11214;22718;21;1
11214;22892;22;1
11214;22983;23;1
11214;71459;24;1
11214;82486;25;1
11214;82580;26;0
11214;84755;27;0
11214;84946;28;0
12133;20685;1;1
12133;20719;2;1
12133;20723;3;1
12133;20724;4;1
12133;20725;5;1
12133;20726;6;1
12133;20727;7;1
12133;21135;8;1
12133;21165;9;1
12133;21166;10;1
12133;21313;11;0
12133;21523;12;1
12133;21524;13;0
12133;21558;14;0
12133;21559;15;0
12133;21754;16;1
12133;21755;17;1
12133;22029;18;1
12133;22037;19;1
12133;22077;20;1
12133;22087;21;1
12133;22169;22;1
12133;22178;23;1
12133;22185;24;0
12133;22241;25;1
12133;22356;26;1
12133;22365;27;0
12133;22386;28;1
12133;22441;29;1
12133;22457;30;1
12133;22488;31;1
12133;22629;32;1
12133;22630;33;1
12133;22631;34;1
12133;22668;35;1
12133;22669;36;1
12133;22692;37;1
12133;22720;38;1
12133;22722;39;1
12133;22723;40;0
12133;22771;41;1
12133;22772;42;1
12133;22773;43;1
12133;22796;44;1
12133;22907;45;1
12133;22960;46;1
12133;22963;47;1
12133;22979;48;0
12133;23126;49;0
12133;48194;50;1
12133;79000;51;1
12133;82484;52;1
12133;84879;53;1
12628;20750;1;0
12628;21201;2;0
12628;21204;3;0
12628;21205;4;0
12628;21452;5;0
12628;21463;6;0
12628;21627;7;0
12628;21628;8;0
12628;21731;9;0
12628;21735;10;0
12628;22139;11;1
12628;22179;12;0
12628;22193;13;0
12628;22207;14;0
12628;22375;15;0
12628;22431;16;0
12628;22466;17;0
12628;22502;18;1
12628;22629;19;1
12628;22637;20;0
12628;22860;21;0
12628;22892;22;1
12628;22898;23;1
12628;22925;24;0
12628;22957;25;0
12628;23007;26;0
12628;23010;27;0
12628;23176;28;0
12628;23177;29;0
12628;40016;30;0
12628;47566;31;1
13387;21136;1;1
13387;21446;2;1
13387;21713;3;0
13387;21746;4;0
13387;21749;5;0
13387;21974;6;0
13387;22423;7;0
13387;22488;8;1
13387;22776;9;1
13387;22916;10;1
13387;22917;11;1
13387;22918;12;1
13387;22919;13;1
13387;22920;14;1
13387;22921;15;1
13387;48129;16;0
13387;84692;17;1
13948;21499;1;1
13948;21500;2;1
13948;21669;3;1
13948;21672;4;1
13948;21774;5;1
13948;22151;6;1
13948;22178;7;1
13948;22460;8;0
13948;22460;8;0
